competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,FW,FW,Andre Gray,WhoScored,0,6.89,0,1,0,0,0,0,1,1,0,40,17,5,1,0,1,1,6,2,2,2,8,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1.133333333,0.119285477,0.725925926,0.262626263,0.418899449,0.043478261,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,FW,FW,Andre Gray,SkySports,1,7,0,1,0,0,0,0,1,1,0,40,17,5,1,0,1,1,6,2,2,2,8,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1.133333333,0.119285477,0.725925926,0.262626263,0.418899449,0.043478261,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,MF,MC,Abdoulaye Doucoure,WhoScored,0,7.75,0,0,1,0,0,1,0,0,0,93,56,13,1,1,5,3,6,3,4,1,17,1,1,1,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.533333333,0.326997612,0.768627451,0.464646465,0.328867708,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,MF,MC,Abdoulaye Doucoure,SkySports,1,6,0,0,1,0,0,1,0,0,0,93,56,13,1,1,5,3,6,3,4,1,17,1,1,1,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.533333333,0.326997612,0.768627451,0.464646465,0.328867708,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,MF,MC,Will Hughes,WhoScored,0,5.83,0,0,0,0,0,0,0,1,0,37,29,3,0,1,4,1,2,5,0,2,6,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.2,0.119285477,0.768627451,0.313131313,0.31825908,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,MF,MC,Will Hughes,SkySports,1,6,0,0,0,0,0,0,0,1,0,37,29,3,0,1,4,1,2,5,0,2,6,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.2,0.119285477,0.768627451,0.313131313,0.31825908,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,DF,DR,Kiko Femenia,WhoScored,0,7.15,0,0,0,1,0,1,2,0,0,81,42,11,2,5,3,3,5,3,2,3,20,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.466666667,0.365861825,0.768627451,0.383838384,0.30903963,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,DF,DR,Kiko Femenia,SkySports,1,7,0,0,0,1,0,1,2,0,0,81,42,11,2,5,3,3,5,3,2,3,20,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.466666667,0.365861825,0.768627451,0.383838384,0.30903963,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,Sub,Sub,Adrian Mariappa,WhoScored,0,6.38,0,0,0,1,0,1,0,0,1,19,8,2,0,0,2,0,1,1,4,2,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.13976819,0.502564103,0.070707071,0.076923077,0,0,1,0,11,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,Sub,Sub,Adrian Mariappa,SkySports,1,7,0,0,0,1,0,1,0,0,1,19,8,2,0,0,2,0,1,1,4,2,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.13976819,0.502564103,0.070707071,0.076923077,0,0,1,0,11,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,DF,DC,Miguel Britos,WhoScored,0,6.56,0,0,0,0,0,0,0,0,0,49,36,1,0,0,13,1,1,3,7,1,2,3,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.133333333,0.315114347,0.622222222,0.272727273,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,DF,DC,Miguel Britos,SkySports,1,6,0,0,0,0,0,0,0,0,0,49,36,1,0,0,13,1,1,3,7,1,2,3,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.133333333,0.315114347,0.622222222,0.272727273,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,GK,GK,Heurelho Gomes,WhoScored,0,7.15,0,0,0,0,0,0,0,0,0,13,6,3,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6,0.07544276,0.568115942,0.080808081,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,GK,GK,Heurelho Gomes,SkySports,1,8,0,0,0,0,0,0,0,0,0,13,6,3,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6,0.07544276,0.568115942,0.080808081,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,Sub,Sub,Stefano Okaka,WhoScored,0,5.94,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0.123442679,0.544444444,0.03030303,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,Sub,Sub,Stefano Okaka,SkySports,1,5,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0.123442679,0.544444444,0.03030303,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,Sub,Sub,Orestis Karnezis,WhoScored,0,5.63,0,0,0,0,0,0,0,0,0,13,7,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.266666667,0.059761434,0.408333333,0.070707071,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Everton - Watford, 3 - 2",Watford,Sub,Sub,Orestis Karnezis,SkySports,1,4,0,0,0,0,0,0,0,0,0,13,7,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.266666667,0.059761434,0.408333333,0.070707071,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,MR,Luis Antonio Valencia,SkySports,1,6,0,0,0,0,0,0,0,1,0,72,35,10,3,1,4,4,3,4,0,3,16,4,2,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.218139941,0.687719298,0.447058824,0.803557794,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,MR,Luis Antonio Valencia,WhoScored,0,6.21,0,0,0,0,0,0,0,1,0,72,35,10,3,1,4,4,3,4,0,3,16,4,2,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.218139941,0.687719298,0.447058824,0.803557794,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,AMC,Henrikh Mkhitaryan,SkySports,1,6,0,0,0,0,0,0,0,0,0,30,20,1,0,0,0,1,5,8,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0.091100604,0.568115942,0.188235294,0.736638326,0,0,1,0,62,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,AMC,Henrikh Mkhitaryan,WhoScored,0,6.07,0,0,0,0,0,0,0,0,0,30,20,1,0,0,0,1,5,8,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0.091100604,0.568115942,0.188235294,0.736638326,0,0,1,0,62,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,FW,FW,Romelu Lukaku,SkySports,1,6,0,0,1,0,0,1,2,0,0,20,10,3,0,0,1,0,1,4,2,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666667,0.289577062,0.622222222,0.164705882,0.714593181,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,FW,FW,Romelu Lukaku,WhoScored,0,6.13,0,0,1,0,0,1,2,0,0,20,10,3,0,0,1,0,1,4,2,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666667,0.289577062,0.622222222,0.164705882,0.714593181,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,ML,Ashley Young,SkySports,1,6,0,0,0,1,1,0,0,2,1,56,19,10,1,2,2,2,7,5,0,0,15,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133333333,0.200113345,0.653333333,0.376470588,0.689649725,0,0,1,0,78,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,ML,Ashley Young,WhoScored,0,6.58,0,0,0,1,1,0,0,2,1,56,19,10,1,2,2,2,7,5,0,0,15,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133333333,0.200113345,0.653333333,0.376470588,0.689649725,0,0,1,0,78,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,DF,DC,Chris Smalling,SkySports,1,6,0,0,0,0,0,0,0,0,0,41,25,3,0,0,2,2,3,8,1,2,3,3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066666667,0.188892223,0.568115942,0.247058824,0.632193399,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,DF,DC,Chris Smalling,WhoScored,0,6.59,0,0,0,0,0,0,0,0,0,41,25,3,0,0,2,2,3,8,1,2,3,3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066666667,0.188892223,0.568115942,0.247058824,0.632193399,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,FW,FW,Marcus Rashford,SkySports,1,6,0,0,0,3,1,3,1,2,0,41,16,6,1,2,1,0,6,6,2,1,16,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.066666667,0.180732949,0.653333333,0.270588235,0.485923362,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,FW,FW,Marcus Rashford,WhoScored,0,5.69,0,0,0,3,1,3,1,2,0,41,16,6,1,2,1,0,6,6,2,1,16,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.066666667,0.180732949,0.653333333,0.270588235,0.485923362,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,DF,DC,Eric Bailly,SkySports,1,6,0,0,0,0,0,0,1,0,1,54,29,9,1,0,3,4,5,5,3,0,10,2,5,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666667,0.149602647,0.622222222,0.294117647,0.41007139,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,DF,DC,Eric Bailly,WhoScored,0,7.26,0,0,0,0,0,0,1,0,1,54,29,9,1,0,3,4,5,5,3,0,10,2,5,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666667,0.149602647,0.622222222,0.294117647,0.41007139,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,MC,Nemanja Matic,SkySports,1,6,0,0,0,0,0,0,0,0,0,78,48,6,3,1,6,3,9,8,4,0,11,1,2,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.733333333,0.398423766,0.871111111,0.494117647,0.402695161,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,MC,Nemanja Matic,WhoScored,0,7.16,0,0,0,0,0,0,0,0,0,78,48,6,3,1,6,3,9,8,4,0,11,1,2,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.733333333,0.398423766,0.871111111,0.494117647,0.402695161,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,MC,Ander Herrera,SkySports,1,6,0,0,0,2,1,0,0,0,0,53,35,6,0,1,3,3,2,11,1,1,12,3,2,0,1,4,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1.333333333,0.213649851,0.687719298,0.317647059,0.328867708,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,MF,MC,Ander Herrera,WhoScored,0,6.54,0,0,0,2,1,0,0,0,0,53,35,6,0,1,3,3,2,11,1,1,12,3,2,0,1,4,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1.333333333,0.213649851,0.687719298,0.317647059,0.328867708,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,Sub,Sub,Marouane Fellaini,SkySports,1,6,0,0,1,0,0,1,0,0,0,23,8,4,0,0,1,1,1,3,6,4,6,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.933333333,0.121218307,0.622222222,0.176470588,0.166666667,0,0,1,0,28,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,Sub,Sub,Marouane Fellaini,WhoScored,0,6.39,0,0,1,0,0,1,0,0,0,23,8,4,0,0,1,1,1,3,6,4,6,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.933333333,0.121218307,0.622222222,0.176470588,0.166666667,0,0,1,0,28,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,Sub,Sub,Anthony Martial,SkySports,1,6,0,0,0,1,1,0,0,0,0,16,10,1,0,1,0,0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.101407332,0.568115942,0.117647059,0.076923077,0,0,1,0,28,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,Sub,Sub,Anthony Martial,WhoScored,0,5.99,0,0,0,1,1,0,0,0,0,16,10,1,0,1,0,0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.101407332,0.568115942,0.117647059,0.076923077,0,0,1,0,28,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,DF,DC,Phil Jones,SkySports,1,6,0,0,0,0,0,0,0,0,0,30,22,1,0,0,2,1,2,5,0,1,1,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.11919039,0.544444444,0.188235294,0,0,0,1,0,62,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,DF,DC,Phil Jones,WhoScored,0,6.01,0,0,0,0,0,0,0,0,0,30,22,1,0,0,2,1,2,5,0,1,1,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.11919039,0.544444444,0.188235294,0,0,0,1,0,62,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,GK,GK,David de Gea,SkySports,1,7,0,0,0,0,0,0,0,0,0,25,14,3,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0.666666667,0.108744641,0.544444444,0.176470588,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,GK,GK,David de Gea,WhoScored,0,7.43,0,0,0,0,0,0,0,0,0,25,14,3,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0.666666667,0.108744641,0.544444444,0.176470588,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Chelsea - Manchester United, 1 - 0",Manchester United,Sub,Sub,Jesse Lingard,WhoScored,0,6.03,0,0,0,0,0,0,0,0,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333,0.086176006,0.502564103,0.082352941,0.285714286,0,0,1,0,12,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,DF,DC,Francis Coquelin,WhoScored,0,6.09,0,0,0,0,0,0,0,0,0,30,15,7,0,0,1,3,3,1,0,1,7,0,0,1,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.112829681,0.687719298,0.193181818,1.517264146,0,0,1,0,56,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,DF,DC,Francis Coquelin,SkySports,1,4,0,0,0,0,0,0,0,0,0,30,15,7,0,0,1,3,3,1,0,1,7,0,0,1,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.112829681,0.687719298,0.193181818,1.517264146,0,0,1,0,56,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,MC,Aaron Ramsey,WhoScored,0,6.9,0,1,1,0,0,1,0,3,0,50,33,5,1,0,2,0,6,13,0,0,12,2,1,0,0,1,2,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1.466666667,0.236030731,0.687719298,0.386363636,1.011900654,0.037037037,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,MC,Aaron Ramsey,SkySports,1,5,0,1,1,0,0,1,0,3,0,50,33,5,1,0,2,0,6,13,0,0,12,2,1,0,0,1,2,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1.466666667,0.236030731,0.687719298,0.386363636,1.011900654,0.037037037,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,DF,DC,Laurent Koscielny,WhoScored,0,6.48,0,0,0,0,0,0,0,0,0,53,41,3,0,0,3,1,2,4,2,0,6,1,0,4,0,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.4,0.197561666,0.768627451,0.375,0.842924532,0.052631579,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,DF,DC,Laurent Koscielny,SkySports,1,5,0,0,0,0,0,0,0,0,0,53,41,3,0,0,3,1,2,4,2,0,6,1,0,4,0,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.4,0.197561666,0.768627451,0.375,0.842924532,0.052631579,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,AMC,Alex Iwobi,WhoScored,0,6.18,0,0,1,1,0,2,0,1,0,42,28,4,0,0,3,0,5,4,0,0,7,0,1,0,0,1,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1.266666667,0.188401399,0.687719298,0.284090909,0.777562676,0.045454545,0,1,0,78,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,AMC,Alex Iwobi,SkySports,1,5,0,0,1,1,0,2,0,1,0,42,28,4,0,0,3,0,5,4,0,0,7,0,1,0,0,1,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1.266666667,0.188401399,0.687719298,0.284090909,0.777562676,0.045454545,0,1,0,78,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,DF,DC,Nacho Monreal,WhoScored,0,5.91,0,0,0,0,0,0,0,0,0,58,44,5,0,0,2,1,6,5,1,1,5,1,3,1,0,4,4,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1.333333333,0.171951362,0.725925926,0.454545455,0.674339613,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,DF,DC,Nacho Monreal,SkySports,1,4,0,0,0,0,0,0,0,0,0,58,44,5,0,0,2,1,6,5,1,1,5,1,3,1,0,4,4,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1.333333333,0.171951362,0.725925926,0.454545455,0.674339613,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,DMR,Hector Bellerin,WhoScored,0,6.03,0,0,0,0,0,0,0,1,0,55,31,5,0,1,3,2,2,2,0,0,8,1,1,3,1,3,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1.266666667,0.188957236,0.653333333,0.375,0.580161907,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,DMR,Hector Bellerin,SkySports,1,5,0,0,0,0,0,0,0,1,0,55,31,5,0,1,3,2,2,2,0,0,8,1,1,3,1,3,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1.266666667,0.188957236,0.653333333,0.375,0.580161907,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,AMC,Mesut Ozil,WhoScored,0,6,0,0,0,1,0,1,1,0,0,56,41,10,0,0,2,1,3,5,0,0,13,3,3,0,0,0,1,2,0,3,1,0,1,3,0,0,0,0,0,0,0,0,1.466666667,0.294154437,0.816666667,0.465909091,0.488237031,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,AMC,Mesut Ozil,SkySports,1,4,0,0,0,1,0,1,1,0,0,56,41,10,0,0,2,1,3,5,0,0,13,3,3,0,0,0,1,2,0,3,1,0,1,3,0,0,0,0,0,0,0,0,1.466666667,0.294154437,0.816666667,0.465909091,0.488237031,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,DML,Sead Kolasinac,WhoScored,0,6.16,0,0,0,0,0,0,0,0,0,72,41,7,0,3,0,2,5,4,0,1,14,3,0,0,1,1,3,2,1,1,0,0,3,5,0,0,0,0,0,0,0,0,1.2,0.301536127,0.687719298,0.511363636,0.45453704,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,DML,Sead Kolasinac,SkySports,1,5,0,0,0,0,0,0,0,0,0,72,41,7,0,3,0,2,5,4,0,1,14,3,0,0,1,1,3,2,1,1,0,0,3,5,0,0,0,0,0,0,0,0,1.2,0.301536127,0.687719298,0.511363636,0.45453704,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,FW,FW,Alexis Sanchez,WhoScored,0,5.82,0,0,0,0,0,0,1,1,0,52,23,12,0,1,1,3,11,9,0,2,18,2,5,0,0,0,1,0,0,3,1,0,1,6,3,0,0,0,0,0,0,0,1.2,0.129472155,0.653333333,0.329545455,0.379627627,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,FW,FW,Alexis Sanchez,SkySports,1,5,0,0,0,0,0,0,1,1,0,52,23,12,0,1,1,3,11,9,0,2,18,2,5,0,0,0,1,0,0,3,1,0,1,6,3,0,0,0,0,0,0,0,1.2,0.129472155,0.653333333,0.329545455,0.379627627,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,MC,Granit Xhaka,WhoScored,0,5.84,0,0,0,0,0,0,0,0,0,48,38,3,0,0,4,3,1,0,1,0,5,1,1,1,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.266666667,0.142526071,0.653333333,0.352272727,0.274056428,0,0,1,0,78,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,MF,MC,Granit Xhaka,SkySports,1,4,0,0,0,0,0,0,0,0,0,48,38,3,0,0,4,3,1,0,1,0,5,1,1,1,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.266666667,0.142526071,0.653333333,0.352272727,0.274056428,0,0,1,0,78,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,Sub,Sub,Alexandre Lacazette,WhoScored,0,6.78,1,0,1,0,0,0,0,0,0,13,9,1,0,0,0,0,2,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0.112921756,0.544444444,0.113636364,0.090909091,0.125,0,1,0,34,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,Sub,Sub,Alexandre Lacazette,SkySports,1,6,1,0,1,0,0,0,0,0,0,13,9,1,0,0,0,0,2,3,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0.112921756,0.544444444,0.113636364,0.090909091,0.125,0,1,0,34,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,GK,GK,Petr Cech,WhoScored,0,6.34,0,0,0,0,0,0,0,0,0,28,12,5,0,0,5,5,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0.866666667,0.116041406,0.593939394,0.181818182,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,GK,GK,Petr Cech,SkySports,1,5,0,0,0,0,0,0,0,0,0,28,12,5,0,0,5,5,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0.866666667,0.116041406,0.593939394,0.181818182,0,0,0,1,0,90,90
Premier League 2017-18,05/11/2017,"Manchester City - Arsenal, 3 - 1",Arsenal,Sub,Sub,Jack Wilshere,WhoScored,0,6.37,0,0,0,0,0,0,1,0,0,13,10,1,0,0,1,1,1,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333,0.108309349,0.593939394,0.102272727,0,0,0,1,0,12,90
